@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
20,'2019/05/12 08:40:53:421',1,306.664368,399.734558,54.768696,362.640961,386.237244,70.076965,396.561737,387.267883,72.70649,432.8703,387.509064,71.145508,476.410461,388.977112,66.564713,0,0,119.00943,-0.250656,5.609866,-7.037999,?,?,?,?,?,?,0,?,0
21,'2019/05/12 08:40:53:472',1,306.648132,399.844299,54.780743,362.656952,386.345154,70.090645,396.602783,387.418976,72.719589,432.844177,387.662231,71.157532,476.441986,389.172729,66.577995,0,0,118.056534,-0.220362,5.665772,-7.031945,?,?,?,?,?,?,0,?,0
22,'2019/05/12 08:40:53:521',1,306.701996,399.925934,54.792957,362.767914,386.460083,70.104927,396.678833,387.502808,72.731918,432.887604,387.750366,71.168968,476.525574,389.251007,66.589439,0,0,117.376579,-0.219722,5.692923,-7.024907,?,?,?,?,?,?,0,?,0
23,'2019/05/12 08:40:53:571',1,306.71524,399.987457,54.806126,362.799744,386.526306,70.119576,396.700104,387.590057,72.746017,432.878204,387.828674,71.182739,476.552856,389.316803,66.604202,0,0,116.312447,-0.221648,5.734372,-7.026021,?,?,?,?,?,?,0,?,0
24,'2019/05/12 08:40:53:622',1,306.652222,400.007751,54.808224,362.747253,386.580139,70.125168,396.62384,387.611694,72.751305,432.786133,387.867371,71.188431,476.474579,389.353912,66.611366,0,0,115.692574,-0.224777,5.758142,-7.034918,?,?,?,?,?,?,0,?,0
25,'2019/05/12 08:40:53:671',1,306.469879,400.029663,54.816063,362.558197,386.626648,70.139145,396.44397,387.64505,72.766357,432.560638,387.904327,71.204414,476.271179,389.395935,66.630363,0,0,114.713791,-0.22598,5.798484,-7.056703,?,?,?,?,?,?,0,?,0
26,'2019/05/12 08:40:53:721',1,306.264282,400.033508,54.812225,362.313599,386.629456,70.139404,396.212799,387.668701,72.76825,432.277832,387.926178,71.207428,476.002625,389.443604,66.63662,0,0,113.80542,-0.217161,5.840568,-7.080364,?,?,?,?,?,?,0,?,0
27,'2019/05/12 08:40:53:772',1,306.151367,400.031982,54.81591,362.18512,386.64325,70.147797,396.057312,387.666534,72.777649,432.104919,387.928436,71.218521,475.820587,389.449738,66.65036,0,0,113.292915,-0.211449,5.868729,-7.105004,?,?,?,?,?,?,0,?,0
28,'2019/05/12 08:40:53:824',1,305.821533,400.051086,54.818199,361.854004,386.709869,70.158676,395.660583,387.707764,72.789597,431.709991,387.990997,71.233322,475.391968,389.478516,66.668961,0,0,112.212029,-0.219722,5.891954,-7.143377,?,?,?,?,?,?,0,?,0
29,'2019/05/12 08:40:53:872',1,305.545593,400.03064,54.815933,361.526001,386.67868,70.16053,395.312286,387.692902,72.793411,431.346802,387.973053,71.239227,475.040344,389.455566,66.678215,0,0,111.758942,-0.224062,5.91644,-7.173954,?,?,?,?,?,?,0,?,0
